uniprot_domain_id_1	uniprot_domain_id_2	uniprot_domain_pair_id
33592	4580	1
2901	32069	2
5450	20376	3
688	4957	4
5683	29763	5
5710	29763	6
5727	29763	7
5729	29763	8
5731	29763	9
5734	29763	10
5736	29763	11
5738	29763	12
5740	29763	13
5742	29763	14
5744	29763	15
5746	29763	16
5748	29763	17
5750	29763	18
5752	29763	19
5754	29763	20
5756	29763	21
5758	29763	22
5760	29763	23
5762	29763	24
5764	29763	25
5766	29763	26
5768	29763	27
5770	29763	28
5772	29763	29
5774	29763	30
5776	29763	31
5778	29763	32
5780	29763	33
5782	29763	34
5784	29763	35
5786	29763	36
5788	29763	37
5790	29763	38
5792	29763	39
5794	29763	40
5796	29763	41
5798	29763	42
5800	29763	43
5802	29763	44
5804	29763	45
5806	29763	46
5808	29763	47
5810	29763	48
5812	29763	49
5814	29763	50
5816	29763	51
5818	29763	52
5820	29763	53
5822	29763	54
5824	29763	55
5826	29763	56
29763	5827	57
5828	29763	58
5831	29763	59
5832	29763	60
16584	13860	61
15200	19268	62
31927	838	63
31927	839	64
838	31928	65
31928	839	66
17160	19342	67
17161	19342	68
1134	19680	69
1134	19681	70
19680	1135	71
1135	19681	72
3453	3453	73
3454	3454	74
31891	8266	75
31892	8267	76
15451	6129	77
25064	29680	78
30390	10237	79
26253	31517	80
7389	26272	81
24795	4055	82
4580	4580	83
25014	7785	84
30553	24288	85
19730	7785	86
9572	9572	87
32037	8947	88
11073	32616	89
501	142	90
500	143	91
501	143	92
502	143	93
500	144	94
144	501	95
502	144	96
500	145	97
501	145	98
502	145	99
23746	29579	100
17386	17386	101
30421	10726	102
30423	10726	103
26252	34014	104
26252	34015	105
26252	34016	106
34014	26253	107
26253	34015	108
26253	34016	109
34014	26254	110
34015	26254	111
26254	34016	112
18542	7654	113
26465	20219	114
26466	20220	115
6637	21624	116
20937	20937	117
1453	33647	118
33650	1453	119
29221	33937	120
33937	29222	121
29222	33938	122
33939	29222	123
22795	27125	124
16809	10050	125
16809	10051	126
26526	1217	127
19930	5202	128
19931	5202	129
15934	15934	130
15934	15935	131
15935	15934	132
15935	15935	133
1223	251	134
6550	18273	135
23462	23462	136
23462	23463	137
23463	23463	138
31994	31241	139
33193	33193	140
33194	33194	141
14372	15115	142
24369	8680	143
4588	13732	144
4588	19388	145
17159	34064	146
10579	29540	147
4957	12536	148
26651	12536	149
2901	12536	150
29997	32367	151
688	12536	152
12248	5409	153
12249	5409	154
11512	11696	155
11514	11696	156
18814	9693	157
18814	9694	158
18814	9695	159
18814	9696	160
9695	18815	161
3565	4891	162
5075	23141	163
33877	9545	164
18685	7763	165
17425	17938	166
33739	33739	167
33740	33740	168
11073	28949	169
9971	3897	170
28076	13293	171
28077	13293	172
26139	32457	173
26140	32457	174
32455	26142	175
32457	26142	176
26143	32457	177
32455	26144	178
32457	26144	179
26146	32457	180
26147	32457	181
32455	26149	182
32457	26149	183
26150	32457	184
33285	32456	185
33286	32457	186
33287	32457	187
27045	27045	188
27046	27046	189
18683	23364	190
18683	23365	191
18683	23366	192
23364	18684	193
18684	23365	194
18684	23366	195
23364	18685	196
23365	18685	197
18685	23366	198
11002	1877	199
11002	1878	200
11003	1878	201
11004	1878	202
16860	16860	203
5442	16989	204
16991	5442	205
6727	16484	206
23665	23665	207
23665	23666	208
23666	23665	209
23666	23666	210
6727	6996	211
1821	33424	212
30795	29767	213
20660	10025	214
12057	11290	215
28260	16288	216
20415	20415	217
20416	20416	218
20416	20417	219
20417	20416	220
20417	20417	221
25677	15342	222
15343	25677	223
25677	15344	224
25677	15345	225
15341	25678	226
25678	15342	227
15343	25678	228
15344	25678	229
25678	15345	230
25679	15341	231
25679	15342	232
25679	15344	233
25679	15345	234
15341	25680	235
25680	15342	236
15343	25680	237
25680	15345	238
15341	25681	239
15342	25681	240
15343	25681	241
15344	25681	242
25681	15345	243
20793	20793	244
20794	20794	245
8951	18233	246
7067	13590	247
30867	30867	248
30867	30868	249
30868	30868	250
14970	1606	251
33422	24676	252
33423	24676	253
11485	11485	254
11878	9712	255
11879	9716	256
11879	9717	257
11880	9716	258
11880	9717	259
17696	28675	260
22068	22068	261
22069	22069	262
4609	4609	263
24150	26291	264
8002	8002	265
4957	13552	266
9064	28015	267
32537	21906	268
29165	24937	269
29166	24938	270
24938	29167	271
4352	26786	272
1223	28178	273
21700	7730	274
21700	7731	275
21700	7732	276
21700	7733	277
12130	19229	278
12130	19230	279
4073	26291	280
4849	4849	281
16435	16435	282
16435	16436	283
16435	16437	284
16435	16443	285
16436	16437	286
16436	16443	287
16437	16437	288
16437	16443	289
16438	16438	290
16438	16441	291
16438	16442	292
16439	16439	293
16439	16440	294
16439	16444	295
16439	16445	296
16440	16439	297
16440	16440	298
16440	16444	299
16440	16445	300
16441	16438	301
16441	16441	302
16441	16442	303
16442	16438	304
16442	16441	305
16442	16442	306
16443	16437	307
16443	16443	308
16444	16439	309
16444	16440	310
16444	16444	311
16444	16445	312
16445	16439	313
16445	16440	314
16445	16444	315
16445	16445	316
16448	16448	317
24327	24411	318
24328	24411	319
18795	18795	320
18795	18796	321
18795	18797	322
18796	18795	323
18796	18796	324
18796	18797	325
18797	18795	326
18797	18796	327
18797	18797	328
18798	18798	329
25267	25267	330
25267	25268	331
25268	25268	332
25982	32250	333
25982	32251	334
24954	16988	335
15637	26291	336
13530	16218	337
