uniprot_domain_id	uniprot_id	pfam_name	alignment_def	hmm_accession	hmm_name	hmm_type	hmm_clan_accession	hmm_clan_name
1	Q12788	WD40	108:137,186:223,370:403,413:449,473:506,512:548,554:590	PF00400.27,PF00400.27,PF00400.27,PF00400.27,PF00400.27,PF00400.27,PF00400.27	WD40,WD40,WD40,WD40,WD40,WD40,WD40	Repeat,Repeat,Repeat,Repeat,Repeat,Repeat,Repeat	CL0186,CL0186,CL0186,CL0186,CL0186,CL0186,CL0186	Beta_propeller,Beta_propeller,Beta_propeller,Beta_propeller,Beta_propeller,Beta_propeller,Beta_propeller
2	Q12788	Utp13	654:789	PF08625.6	Utp13	Domain	\N	\N
3	Q8TCY5	MRAP	1:90	PF15183.1	MRAP	Family	\N	\N
4	Q13342	Sp100	37:138	PF03172.8	Sp100	Domain	\N	\N
5	Q13342	SAND	580:660	PF01342.16	SAND	Family	\N	\N
6	Q13342	PHD	693:735	PF00628.24	PHD	Domain	CL0390	zf-FYVE-PHD
7	Q13342	Bromodomain	794:836	PF00439.20	Bromodomain	Domain	\N	\N
8	Q4VNC1	P5-ATPase	16:140	PF12409.3	P5-ATPase	Family	\N	\N
9	Q4VNC1	Cation_ATPase_N+E1-E2_ATPase	161:216,229:470	PF00690.21,PF00122.15	Cation_ATPase_N,E1-E2_ATPase	Domain,Family	\N	\N
10	Q4VNC1	HAD	483:857	PF12710.2	HAD	Family	CL0137	HAD
11	Q13972	PH	25:127	PF00169.24	PH	Domain	CL0266	PH
12	Q13972	RhoGEF	245:423	PF00621.15	RhoGEF	Domain	\N	\N
13	Q13972	RasGEF_N	647:767	PF00618.15	RasGEF_N	Domain	CL0542	RAS_GEF_N
14	Q13972	RasGEF	1040:1222	PF00617.14	RasGEF	Family	\N	\N
15	P41236	IPP-2	42:173	PF04979.9	IPP-2	Family	\N	\N
16	Q969T7	UMPH-1	44:289	PF05822.7	UMPH-1	Family	CL0137	HAD
17	Q92478	Lectin_C	55:146	PF00059.16	Lectin_C	Domain	CL0056	C_Lectin
18	Q5JRS4	7tm_4	140:281	PF13853.1	7tm_4	Family	CL0192	GPCR_A
19	Q9UII5	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	147:170,175:199,202:226	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
